record,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_15_other,Q5_1,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_15_other,Q7_1,Q8,Q9_1,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12,Q13,Q14,Q15,Q13_english,Q14_english,Q15_english
142,5,2,4,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,geen,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,wil geen ai assistent,doe liever alles zelf,niets wil het niet,doesn't want an AI assistant,prefer to do everything myself,nothing doesn't want it
326,5,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,geen idee,weet ik nog niet,weet ik niet,no idea,I don't know yet,I don't know
228,5,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,Geen idee nog,Niet eigenlijk,Op de achtergrond suggestief,No idea yet,Not really,Suggestive in the background
338,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,4,2,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,Geld zaken planning,Ateeds herhalingen iets vergeet,Via herinneren telefoon icoon,Money matters planning,Ateeds repeats something forgets,Via remind phone icon
285,5,2,4,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,niets dus,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,geen enkele,vindt niets frustie en tijdrovend,helemaal niet,none,finds nothing frustrating and time consuming,not at all
262,5,1,4,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,niets,1,3,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,3,heb er eigenlijk geen want voor schoonmaken heb ik een robot nodig,duurt zo lang voor je klaar bent,kan niet is geen robot,I don't actually have one because I need a robot for cleaning,takes so long to get ready,can't is not a robot
195,5,1,4,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Boeken verre reis,De prijs van de reis,Advies,Books long journey,The price of the trip,Advice
110,5,2,4,,,,,,,,,,,,,,,,,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,2,ht zoeken naar iets,ik vind het griezelig alles wordt opgeslagen,geen idee,looking for something,I find it creepy that everything is saved,no idea
159,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,reis plannen,niet,tijd besparen,travel plans,not ,save time
341,5,2,4,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Nu nog even niets,1,3,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,Blad ruimen,Kost verl tijd. Is niet frustrerend,Geen idee,Clearing leaves,Takes time. Isn't frustrating.,No idea
